ID,Name,Concepticon_ID,Concepticon_Gloss,Korean_Gloss,Number
1_above,above,1741,ABOVE,위,
2_all,all,98,ALL,모두,
3_and,and,1577,AND,와/과,
4_animal,animal,619,ANIMAL,짐승,
5_ash,ash,646,ASH,재,
6_at,at,1461,AT,에,
7_back,back,1291,BACK,등,
8_badevil,"bad, evil",3764,BAD OR EVIL,나쁘다,
9_barkofatree,bark (of a tree),1204,BARK,나무껍질,
10_because,because,1157,BECAUSE,때문에,
11_belly,belly,1251,BELLY,배,
12_below,below,1485,BELOW OR UNDER,아래,
13_big,big,1202,BIG,크다,
14_bird,bird,937,BIRD,새,
15_black,black,163,BLACK,검정/검다/까맣다,
16_blood,blood,946,BLOOD,피,
17_bone,bone,1394,BONE,뼈,
18_branch,branch,1531,BRANCH,가지,
19_breast,breast,1402,BREAST,가슴,
20_child,child,2099,CHILD,어린아이,
21_claw,claw,72,CLAW,손톱,
22_cloud,cloud,1489,CLOUD,구름,
23_cold,cold,1287,COLD,추워/춥다,
24_correcttrue,"correct, true",1725,CORRECT (RIGHT),바르다/맞다,
25_day,day,1225,DAY (NOT NIGHT),낮,
26_dirty,dirty,1230,DIRTY,더럽다,
27_dog,dog,2009,DOG,개,
28_dry,dry,1398,DRY,마르다,
29_dull,dull,379,BLUNT,무디다/무디다,
30_dust,dust,2,DUST,티끌,
31_ear,ear,1247,EAR,귀,
32_earthsoil,earth/soil,1228,EARTH (SOIL),흙,
33_egg,egg,744,EGG,달걀,
34_eight,Eight,1705,EIGHT,여덟,
35_eye,eye,1248,EYE,눈,
36_far,far,1406,FAR,멀다,
37_fatgrease,fat/grease,323,FAT (ORGANIC SUBSTANCE),기름,
38_father,father,1217,FATHER,아버지/아빠,
39_feather,feather,1201,FEATHER,깃,
40_few,few,1242,FEW,조금,
41_fifty,Fifty,1717,FIFTY,쉰,
42_fire,fire,221,FIRE,불,
43_fish,fish,227,FISH,고기,
44_five,Five,493,FIVE,다섯,
45_flower,flower,239,FLOWER,꽃,
46_fog,fog,249,FOG,안개,
47_foot,foot,1301,FOOT,발,
48_four,Four,1500,FOUR,넷/네,
49_fruit,fruit,1507,FRUIT,열매,
50_full,full,1429,FULL,가득하다,
51_good,good,1035,GOOD,좋다,
52_grass,grass,606,GRASS,풀/잔디,
53_green,green,1425,GREEN,초록/푸르다,
54_hair,hair,1040,HAIR,털,
55_hand,hand,1277,HAND,손,
56_heshe,he/she,2642,HE OR SHE,그,
