ID,Name,Glottocode,ISO639P3code
Jeju,Jeju,jeju1234,jje
SJeolla,Southern Jeolla,chol1278,
NJeolla,Northern Jeolla,chol1278,
SGyeongsang,Southern Gyeongsang,kyon1247,
NGyeongsang,Northern Gyeongsang,kyon1247,
SChungcheong,Southern Chungcheong,chun1247,
NChungcheong,Northern Chungcheong,chun1247,
Gyeonggi,Gyeonggi,seou1239,
Gangwon,Gangwon,,
Hwanghae,Hwanghae,hwan1238,
SHamgyong,Southern Hamgyong,hamg1238,
NHamgyong,Northern Hamgyong,hamg1238,
SPyongan,Southern Pyongan,pyon1239,
NPyongan,Northern Pyongan,pyon1239,
MKorean,Middle Korean,midd1372,
